burial,quadrangle,structure,group,age,sex,time_period,grave_type,location,head_orientation,body_position,associated_material_1,x,y
45,Camp,Str.4F-26,4F-6,Adult,Male,LC,Formal-roofed,NA,South,B3,C1f,222133.363,1906431.2119
49,Encanto,Str.2G-59,2G-1,Adult,Male,LC,Formal-roofed,Structure-other,North,B2,C1b,222510.5343,1907072.2515
50,Encanto,Str.2G-59,2G-1,Adult,Male,LC,Informal,Structure-other,North,A1,C1c,222510.4847,1907071.1565
52,Encanto,Str.2G-59,2G-1,Adult,Male,LC,Informal,Structure-other,North,D1,C1e,222510.4054,1907069.9674
53,Encanto,Str.2G-59,2G-1,Adult,Unknown,LC,Informal,Structure-other,North,B,A1c,222510.4054,1907068.9369
54,Encanto,Str.2G-59,2G-1,Adult,Unknown,IC,Formal-walled-roofed,Structure-offaxis,North,C2,C1d,222510.4054,1907068.1442
55,Encanto,Str.2G-59,2G-1,Child,Unknown,LC,Formal-walled-roofed,Structure-other,North,B3,None,222510.564,1907067.3514
56,Encanto,Str.2G-59,2G-1,Adult,Male,LC,Informal,Structure-other,East,B3,C4b,222510.0884,1907066.638
57,Encanto,Str.2G-59,2G-1,Adult,Male,IC,Informal,Structure-offaxis,North,B,A1d,222510.8811,1907066.4002
58,Encanto,Str.2G-59,2G-1,Adult,Unknown,IC,Informal,Structure-offaxis,North,NA,F1a,222510.3262,1907065.9245
59,Encanto,Str.2G-59,2G-1,Adult,Male,LC,Informal,NA,West,B1,None,222510.3262,1907065.0525
60,Encanto,Str.2G-59,2G-1,Adult,Male,LC,NA,Structure-other,North,B,A1d,222510.6433,1907073.2176
61,Camp,Plat.4F-6,4F-3,Child,Unknown,LC,Informal,NA,North,B,None,221982.4624,1906504.9019
62,Encanto,Str.2G-2,NA,Adult,Male,PC,chultun,Structure-offaxis,North,Two-stage,A3a,222354.9513,1907118.3769
63,Encanto,Str.2G-10,2G-2,Adult,Female,IC,chultun,Structure-offaxis,North,A2,None,222617.6618,1907302.6336
64,Encanto,Str.2G-61,NA,Adult,Unknown,EC,Informal,Structure-offaxis,South,D2,None,222355.2822,1907116.1706
65,Encanto,Str.3F-24,3F-1,Adult,Unknown,IC,Formal-walled-roofed,Structure-offaxis,East,D1,None,221998.1436,1906817.8001
66,Encanto,Str.3F-24,3F-1,Adult,Male,LC,Formal-walled-roofed,Structure-axis,North,D1,B2a,222000.2839,1906817.9587
67,Encanto,Str.3F-25,3F-1,Adult,Male,LC,Informal,Structure-other,East,A1,None,221998.2228,1906799.3295
68,Encanto,Str.3F-26,3F-2,Adult,Unknown,LC,Formal-walled-roofed,Structure-other,North,B1,C2c,221978.5631,1906747.8021
69,Encanto,Str.3F-26,3F-2,Adult,Male,LC,Informal,Structure-other,West,A1,None,221979.5144,1906747.8021
70,Encanto,Str.3F-27,3F-2,Adult,Unknown,LC,Formal-walled-roofed,Structure-axis,North,NA,E8b,221993.7836,1906730.5206
118,Corriental,GroupPlatform,6E-14,Adult,Male,LC,NA,NA,NA,NA,C,221252.6672,1905153.4645
119,Corriental,Plaza,7E-6,Adult,Male,IC,Informal,NA,East,NA,None,221018.945,1904810.8333
128,Corriental,Str.6E-Sub.1,6E-1,Adult,Female,PC,Formal-walled-roofed,Structure-offaxis,NA,Two-stage,D2,221156.7276,1905479.7964
129,Corriental,Str.6E-26,6E-1,Adult,Male,LC,Formal-roofed,Structure-other,North,C3,None,221158.0988,1905479.5855
130,Corriental,Plat.6E-1,6E-1,Adult,Female,IC,Informal,NA,North,C3,B2b,221156.0947,1905471.3581
131,Corriental,Str.6E-26,6E-1,Adult,Unknown,LC,Informal,NA,North,A,Noinformation,221159.3645,1905479.3745
136,Perdido,Str.6C-47,6C-1,Adult,Male,IC,Formal-walled,Structure-offaxis,North,A1,E7b,220450.7809,1905426.9144
138,Corriental,Plat.6E-1,6E-1,Child,Unknown,EC,Formal-roofed,NA,West,A2,None,221160.5248,1905473.9951
143,Perdido,Ch.6C-10,NA,Adult,Female,IC,chultun,NA,North,C4,E9,220252.6917,1905401.2007
145,Perdido,Str.6C-57,6C-2,Child,Unknown,NA,Informal,Structure-axis,NA,NA,None,220184.0143,1905331.436
146,Perdido,Str.6C-45,6C-1,Adult,Male,EC,Informal,Structure-offaxis,North,B3,E7b,220431.0868,1905430.0453
152,Corriental,Str.6E-26,6E-1,Adult,Female,EC,NA,NA,NA,NA,F,221160.2084,1905479.3745
153,Corriental,Str.6E-Sub.1,6E-1,Adult,Male,EC,Formal-roofed,Structure-offaxis,North,C2,None,221155.7783,1905480.1129
158,Camp,Plat.5F-1,5F-1,Adult,Male,PC,Formal-walled,NA,Up,A2,C2e,222152.0478,1905950.154
161,Corriental,Plat.6E-1,6E-1,Child,Unknown,LC,Informal,NA,Up,A1,None,221158.4152,1905472.9403
169,GreatPlaza,Str.5D-7,5D-1,Adult,Male,EC,chultun,Structure-axis,South,B3,B1c,220691.9104,1906146.342
170,GreatPlaza,Str.5D-7,5D-1,Adult,Female,LC,Formal-walled-roofed,NA,East,B2,None,220691.2003,1906143.2648
171,GreatPlaza,Str.5D-7,5D-1,Adult,Male,LC,Formal-walled-roofed,Structure-other,North,A1,E8b,220690.4901,1906139.9509
189,Camp,Str.4FG-26,4G-3,Adult,Unknown,LC,Formal-walled-roofed,Structure-other,North,A2,C2d,222134.3891,1906429.4102
205,PeripheralSquares,NA,1D-7,Adult,Male,IC,Formal-walled-roofed,Structure-offaxis,North,B3,None,220991.8562,1908094.068
208,PeripheralSquares,NA,1D-2,Adult,Female,NA,Informal,NA,North,A1,None,221271.323,1908028.8147
212,TempleIV,Str.4C-34,NA,Adult,Male,LC,Informal,NA,North,B1,C4a,220693.8412,1906450.8722
218,Inscriptions,Plat.6F-1,NA,Adult,Unknown,LC,Formal-walled-roofed,NA,NA,NA,Noinformation,221967.8515,1905086.3196
219,Inscriptions,Str.7F-90,7F-2,Adult,Unknown,EC,Formal-roofed,NA,NA,NA,Noinformation,221813.6846,1905001.6481
151A,Corriental,Plat.6E-1,6E-1,Adult,Male,LC,Formal-roofed,NA,North,D1,None,221156.8331,1905474.417
151B,Corriental,Plat.6E-1,6E-1,Child,Unknown,LC,Formal-roofed,NA,North,D1,None,221157.1702,1905474.8779
151C,Corriental,Plat.6E-1,6E-1,Child,Unknown,LC,Formal-roofed,NA,North,NA,None,221156.8331,1905474.417
